trade_date,stock_count
20001026,1005
20001027,1016
20001030,1000
20001031,1005
20001101,1012
20001102,1012
20001103,1022
20001106,1013
20001107,1015
20001108,1015
20001109,1016
20001110,1021
20001113,1009
20001114,1015
20001115,1012
20001116,1016
20001117,1024
20001120,1011
20001121,1016
20001122,1018
20001123,1021
20001124,1027
20001127,1011
20001128,1014
20001129,1021
20001130,1022
20001201,1030
20001204,1019
20001205,1022
20001206,1024
20001207,1026
20001208,1026
20001211,1024
20001212,1028
20001213,1031
20001214,1029
20001215,1033
20001218,1017
20001219,1025
20001220,1033
20001221,1033
20001222,1037
20001225,1019
20001226,1034
20001227,1045
20001228,1038
20001229,1030
20010102,1023
20010103,1050
20010104,1050
20010105,1050
20010108,1045
20010109,1049
20010110,1051
20010111,1056
20010112,1062
20010115,1057
20010116,1059
20010117,1061
20010118,1064
20010119,1073
20010205,1061
20010206,1063
20010207,1068
20010208,1066
20010209,1072
20010212,1069
20010213,1069
20010214,1068
20010215,1069
20010216,1074
20010219,1057
20010220,1052
20010221,1071
20010222,1071
20010223,1078
20010226,1071
20010227,1075
20010228,1067
20010301,1076
20010302,1084
20010305,1076
20010306,1074
20010307,1078
20010308,1071
20010309,1080
20010312,1063
20010313,1076
20010314,1080
20010315,1068
20010316,1076
20010319,1070
20010320,1081
20010321,1084
20010322,1079
20010323,1084
20010326,1068
20010327,1081
20010328,1077
20010329,1078
20010330,1079
20010402,1067
20010403,1080
20010404,1088
20010405,1087
20010406,1084
20010409,1070
20010410,1064
20010411,1084
20010412,1078
20010413,1084
20010416,1064
20010417,1081
20010418,1061
20010419,1080
20010420,1073
20010423,1062
20010424,1077
20010425,1067
20010426,1059
20010427,1069
20010430,1041
20010508,1035
20010509,1054
20010510,1038
20010511,1057
20010514,1056
20010515,1053
20010516,1063
20010517,1074
20010518,1041
20010521,1051
20010522,1061
20010523,1075
20010524,1076
20010525,1066
20010528,1038
20010529,1065
20010530,1070
20010531,1080
20010601,1091
20010604,1084
20010605,1085
20010606,1086
20010607,1086
20010608,1085
20010611,1071
20010612,1083
20010613,1087
20010614,1088
20010615,1086
20010618,1073
20010619,1083
20010620,1079
20010621,1088
20010622,1089
20010625,1067
20010626,1063
20010627,1089
20010628,1061
20010629,1051
20010702,1071
20010703,1093
20010704,1097
20010705,1097
20010706,1103
20010709,1095
20010710,1096
20010711,1098
20010712,1095
20010713,1101
20010716,1090
20010717,1094
20010718,1095
20010719,1095
20010720,1098
20010723,1096
20010724,1097
20010725,1099
20010726,1095
20010727,1104
20010730,1085
20010731,1090
20010801,1097
20010802,1097
20010803,1105
20010806,1091
20010807,1097
20010808,1097
20010809,1094
20010810,1101
20010813,1093
20010814,1098
20010815,1094
20010816,1099
20010817,1105
20010820,1088
20010821,1101
20010822,1101
20010823,1099
20010824,1109
20010827,1098
20010828,1098
20010829,1107
20010830,1103
20010831,1095
20010903,1101
20010904,1105
20010905,1103
20010906,1103
20010907,1108
20010910,1094
20010911,1102
20010912,1098
20010913,1109
20010914,1120
20010917,1092
20010918,1094
20010919,1107
20010920,1098
20010921,1107
20010924,1097
20010925,1106
20010926,1101
20010927,1107
20010928,1106
20011008,1095
20011009,1101
20011010,1106
20011011,1105
20011012,1115
20011015,1104
20011016,1100
20011017,1110
20011018,1112
20011019,1124
20011022,1102
20011023,1105
20011024,1110
20011025,1108
20011026,1113
20011029,1094
20011030,1099
20011031,1105
20011101,1109
20011102,1119
20011105,1108
20011106,1110
20011107,1111
20011108,1109
20011109,1123
20011112,1100
20011113,1107
20011114,1109
20011115,1109
20011116,1115
20011119,1101
20011120,1100
20011121,1108
20011122,1109
20011123,1119
20011126,1097
20011127,1107
20011128,1106
20011129,1109
20011130,1114
20011203,1104
20011204,1109
20011205,1109
20011206,1107
20011207,1126
20011210,1101
20011211,1112
20011212,1111
20011213,1107
20011214,1118
20011217,1088
20011218,1095
20011219,1109
20011220,1106
20011221,1113
20011224,1084
20011225,1103
20011226,1113
20011227,1108
20011228,1087
20011231,1088
20020104,1130
20020107,1118
20020108,1118
20020109,1122
20020110,1121
20020111,1132
20020114,1112
20020115,1113
20020116,1120
20020117,1122
20020118,1133
20020121,1113
20020122,1116
20020123,1122
20020124,1120
20020125,1130
20020128,1110
20020129,1116
20020130,1116
20020131,1122
20020201,1135
20020204,1114
20020205,1121
20020206,1115
20020207,1120
20020208,1129
20020225,1109
20020226,1121
20020227,1123
20020228,1122
20020301,1128
20020304,1122
20020305,1119
20020306,1124
20020307,1124
20020308,1123
20020311,1101
20020312,1102
20020313,1125
20020314,1128
20020315,1133
20020318,1123
20020319,1127
20020320,1125
20020321,1129
20020322,1136
20020325,1127
20020326,1126
20020327,1126
20020328,1120
20020329,1127
20020401,1112
20020402,1123
20020403,1128
20020404,1131
20020405,1133
20020408,1112
20020409,1120
20020410,1125
20020411,1125
20020412,1134
20020415,1122
20020416,1111
20020417,1124
20020418,1104
20020419,1114
20020422,1102
20020423,1107
20020424,1121
20020425,1101
20020426,1099
20020429,1063
20020430,1112
20020508,1111
20020509,1106
20020510,1085
20020513,1102
20020514,1120
20020515,1093
20020516,1094
20020517,1110
20020520,1083
20020521,1104
20020522,1108
20020523,1114
20020524,1114
20020527,1105
20020528,1073
20020529,1110
20020530,1102
20020531,1099
20020603,1124
20020604,1131
20020605,1132
20020606,1123
20020607,1126
20020610,1119
20020611,1131
20020612,1129
20020613,1135
20020614,1129
20020617,1119
20020618,1113
20020619,1131
20020620,1132
20020621,1121
20020624,1114
20020625,1114
20020626,1097
20020627,1118
20020628,1034
20020701,1021
20020702,1141
20020703,1147
20020704,1147
20020705,1146
20020708,1141
20020709,1147
20020710,1149
20020711,1151
20020712,1148
20020715,1149
20020716,1144
20020717,1150
20020718,1148
20020719,1146
20020722,1143
20020723,1150
20020724,1155
20020725,1146
20020726,1141
20020729,1142
20020730,1143
20020731,1156
20020801,1150
20020802,1152
20020805,1151
20020806,1152
20020807,1158
20020808,1155
20020809,1154
20020812,1154
20020813,1158
20020814,1162
20020815,1161
20020816,1158
20020819,1148
20020820,1160
20020821,1160
20020822,1163
20020823,1155
20020826,1156
20020827,1162
20020828,1163
20020829,1163
20020830,1161
20020902,1158
20020903,1160
20020904,1166
20020905,1163
20020906,1157
20020909,1158
20020910,1153
20020911,1170
20020912,1168
20020913,1160
20020916,1157
20020917,1163
20020918,1160
20020919,1169
20020920,1154
20020923,1149
20020924,1162
20020925,1159
20020926,1161
20020927,1159
20021008,1156
20021009,1167
20021010,1170
20021011,1171
20021014,1171
20021015,1173
20021016,1176
20021017,1175
20021018,1169
20021021,1170
20021022,1172
20021023,1177
20021024,1180
20021025,1170
20021028,1154
20021029,1170
20021030,1175
20021031,1176
20021101,1180
20021104,1183
20021105,1182
20021106,1182
20021107,1184
20021108,1180
20021111,1175
20021112,1182
20021113,1186
20021114,1186
20021115,1182
20021118,1176
20021119,1185
20021120,1184
20021121,1185
20021122,1178
20021125,1174
20021126,1170
20021127,1181
20021128,1166
20021129,1162
20021202,1158
20021203,1180
20021204,1184
20021205,1185
20021206,1180
20021209,1176
20021210,1185
20021211,1188
20021212,1181
20021213,1186
20021216,1177
20021217,1182
20021218,1182
20021219,1189
20021220,1179
20021223,1164
20021224,1181
20021225,1189
20021226,1184
20021227,1176
20021230,1120
20021231,1181
20030102,1188
20030103,1189
20030106,1188
20030107,1191
20030108,1195
20030109,1191
20030110,1193
20030113,1195
20030114,1198
20030115,1197
20030116,1196
20030117,1196
20030120,1192
20030121,1196
20030122,1192
20030123,1192
20030124,1190
20030127,1182
20030128,1191
20030129,1198
20030210,1190
20030211,1196
20030212,1196
20030213,1199
20030214,1197
20030217,1188
20030218,1188
20030219,1197
20030220,1193
20030221,1195
20030224,1196
20030225,1195
20030226,1196
20030227,1198
20030228,1178
20030303,1194
20030304,1200
20030305,1200
20030306,1200
20030307,1201
20030310,1203
20030311,1204
20030312,1205
20030313,1202
20030314,1203
20030317,1198
20030318,1200
20030319,1203
20030320,1198
20030321,1195
20030324,1198
20030325,1200
20030326,1198
20030327,1202
20030328,1190
20030331,1186
20030401,1200
20030402,1200
20030403,1198
20030404,1201
20030407,1194
20030408,1194
20030409,1201
20030410,1199
20030411,1196
20030414,1194
20030415,1186
20030416,1193
20030417,1199
20030418,1183
20030421,1181
20030422,1177
20030423,1195
20030424,1201
20030425,1167
20030428,1135
20030429,1155
20030430,1183
20030512,1122
20030513,1180
20030514,1192
20030515,1168
20030516,1159
20030519,1154
20030520,1168
20030521,1186
20030522,1182
20030523,1175
20030526,1165
20030527,1179
20030528,1151
20030529,1182
20030530,1156
20030602,1189
20030603,1188
20030604,1196
20030605,1197
20030606,1182
20030609,1192
20030610,1192
20030611,1197
20030612,1188
20030613,1190
20030616,1172
20030617,1192
20030618,1180
20030619,1199
20030620,1181
20030623,1178
20030624,1195
20030625,1179
20030626,1169
20030627,1151
20030630,1061
20030701,1204
20030702,1208
20030703,1209
20030704,1208
20030707,1204
20030708,1206
20030709,1210
20030710,1211
20030711,1210
20030714,1208
20030715,1212
20030716,1211
20030717,1214
20030718,1208
20030721,1207
20030722,1212
20030723,1217
20030724,1214
20030725,1211
20030728,1201
20030729,1202
20030730,1211
20030731,1206
20030801,1217
20030804,1215
20030805,1217
20030806,1219
20030807,1222
20030808,1208
20030811,1212
20030812,1215
20030813,1221
20030814,1224
20030815,1216
20030818,1211
20030819,1222
20030820,1220
20030821,1221
20030822,1217
20030825,1222
20030826,1213
20030827,1223
20030828,1219
20030829,1218
20030901,1211
20030902,1223
20030903,1224
20030904,1226
20030905,1225
20030908,1221
20030909,1223
20030910,1218
20030911,1227
20030912,1225
20030915,1229
20030916,1224
20030917,1230
20030918,1221
20030919,1226
20030922,1215
20030923,1221
20030924,1231
20030925,1225
20030926,1217
20030929,1187
20030930,1229
20031008,1228
20031009,1229
20031010,1226
20031013,1228
20031014,1236
20031015,1231
20031016,1231
20031017,1233
20031020,1226
20031021,1241
20031022,1242
20031023,1241
20031024,1237
20031027,1234
20031028,1232
20031029,1237
20031030,1232
20031031,1236
20031103,1242
20031104,1245
20031105,1245
20031106,1246
20031107,1247
20031110,1239
20031111,1239
20031112,1244
20031113,1246
20031114,1243
20031117,1242
20031118,1241
20031119,1249
20031120,1242
20031121,1239
20031124,1240
20031125,1239
20031126,1244
20031127,1238
20031128,1227
20031201,1223
20031202,1237
20031203,1250
20031204,1246
20031205,1242
20031208,1242
20031209,1246
20031210,1251
20031211,1248
20031212,1247
20031215,1239
20031216,1250
20031217,1253
20031218,1245
20031219,1249
20031222,1237
20031223,1248
20031224,1255
20031225,1253
20031226,1244
20031229,1204
20031230,1237
20031231,1254
20040102,1254
20040105,1256
20040106,1256
20040107,1256
20040108,1256
20040109,1259
20040112,1255
20040113,1255
20040114,1253
20040115,1253
20040116,1250
20040129,1248
20040130,1255
20040202,1258
20040203,1260
20040204,1261
20040205,1263
20040206,1255
20040209,1247
20040210,1256
20040211,1262
20040212,1256
20040213,1256
20040216,1242
20040217,1260
20040218,1255
20040219,1262
20040220,1258
20040223,1261
20040224,1261
20040225,1264
20040226,1263
20040227,1264
20040301,1256
20040302,1260
20040303,1258
20040304,1262
20040305,1264
20040308,1263
20040309,1260
20040310,1263
20040311,1265
20040312,1258
20040315,1254
20040316,1263
20040317,1264
20040318,1256
20040319,1250
20040322,1248
20040323,1262
20040324,1264
20040325,1263
20040326,1254
20040329,1252
20040330,1243
20040331,1263
20040401,1269
20040402,1257
20040405,1260
20040406,1264
20040407,1271
20040408,1263
20040409,1258
20040412,1251
20040413,1265
20040414,1271
20040415,1261
20040416,1249
20040419,1245
20040420,1239
20040421,1259
20040422,1247
20040423,1240
20040426,1228
20040427,1235
20040428,1214
20040429,1237
20040430,1246
20040510,1232
20040511,1248
20040512,1230
20040513,1252
20040514,1253
20040517,1227
20040518,1205
20040519,1262
20040520,1251
20040521,1233
20040524,1241
20040525,1241
20040526,1227
20040527,1254
20040528,1209
20040531,1223
20040601,1272
20040602,1271
20040603,1266
20040604,1269
20040607,1272
20040608,1265
20040609,1274
20040610,1271
20040611,1266
20040614,1275
20040615,1271
20040616,1270
20040617,1278
20040618,1253
20040621,1261
20040622,1265
20040623,1274
20040624,1278
20040625,1258
20040628,1225
20040629,1230
20040630,1257
20040701,1290
20040702,1292
20040705,1293
20040706,1298
20040707,1300
20040708,1302
20040709,1300
20040712,1297
20040713,1308
20040714,1310
20040715,1305
20040716,1309
20040719,1303
20040720,1308
20040721,1314
20040722,1312
20040723,1311
20040726,1302
20040727,1317
20040728,1313
20040729,1315
20040730,1314
20040802,1305
20040803,1312
20040804,1319
20040805,1319
20040806,1315
20040809,1322
20040810,1318
20040811,1323
20040812,1322
20040813,1321
20040816,1318
20040817,1326
20040818,1326
20040819,1328
20040820,1317
20040823,1323
20040824,1320
20040825,1329
20040826,1327
20040827,1327
20040830,1318
20040831,1325
20040901,1322
20040902,1327
20040903,1325
20040906,1319
20040907,1328
20040908,1330
20040909,1330
20040910,1320
20040913,1317
20040914,1331
20040915,1320
20040916,1323
20040917,1322
20040920,1309
20040921,1313
20040922,1328
20040923,1328
20040924,1316
20040927,1308
20040928,1315
20040929,1324
20040930,1329
20041008,1331
20041011,1317
20041012,1327
20041013,1336
20041014,1335
20041015,1322
20041018,1320
20041019,1329
20041020,1333
20041021,1328
20041022,1320
20041025,1327
20041026,1332
20041027,1328
20041028,1326
20041029,1326
20041101,1328
20041102,1338
20041103,1337
20041104,1339
20041105,1339
20041108,1337
20041109,1336
20041110,1339
20041111,1337
20041112,1332
20041115,1330
20041116,1333
20041117,1337
20041118,1334
20041119,1335
20041122,1326
20041123,1323
20041124,1336
20041125,1335
20041126,1323
20041129,1311
20041130,1323
20041201,1344
20041202,1338
20041203,1336
20041206,1332
20041207,1342
20041208,1338
20041209,1341
20041210,1332
20041213,1338
20041214,1341
20041215,1344
20041216,1338
20041217,1334
20041220,1332
20041221,1341
20041222,1341
20041223,1343
20041224,1331
20041227,1314
20041228,1322
20041229,1339
20041230,1331
20041231,1342
20050104,1345
20050105,1346
20050106,1346
20050107,1345
20050110,1342
20050111,1346
20050112,1345
20050113,1345
20050114,1343
20050117,1341
20050118,1347
20050119,1344
20050120,1342
20050121,1344
20050124,1341
20050125,1335
20050126,1347
20050127,1345
20050128,1336
20050131,1327
20050201,1345
20050202,1348
20050203,1341
20050204,1343
20050216,1345
20050217,1348
20050218,1342
20050221,1342
20050222,1336
20050223,1347
20050224,1342
20050225,1341
20050228,1328
20050301,1341
20050302,1348
20050303,1339
20050304,1340
20050307,1332
20050308,1340
20050309,1342
20050310,1341
20050311,1344
20050314,1345
20050315,1348
20050316,1348
20050317,1347
20050318,1342
20050321,1340
20050322,1342
20050323,1347
20050324,1346
20050325,1342
20050328,1329
20050329,1341
20050330,1338
20050331,1337
20050401,1336
20050404,1330
20050405,1348
20050406,1338
20050407,1346
20050408,1330
20050411,1337
20050412,1333
20050413,1348
20050414,1347
20050415,1335
20050418,1323
20050419,1335
20050420,1332
20050421,1339
20050422,1317
20050425,1317
20050426,1300
20050427,1331
20050428,1298
20050429,1307
20050509,1288
20050510,1299
20050511,1318
20050512,1296
20050513,1312
20050516,1296
20050517,1313
20050518,1295
20050519,1322
20050520,1278
20050523,1294
20050524,1319
20050525,1306
20050526,1284
20050527,1298
20050530,1264
20050531,1298
20050601,1337
20050602,1330
20050603,1331
20050606,1331
20050607,1335
20050608,1330
20050609,1335
20050610,1325
20050613,1328
20050614,1336
20050615,1334
20050616,1325
20050617,1330
20050620,1267
20050621,1291
20050622,1281
20050623,1292
20050624,1280
20050627,1271
20050628,1221
20050629,1278
20050630,1257
20050701,1315
20050704,1320
20050705,1331
20050706,1333
20050707,1336
20050708,1331
20050711,1332
20050712,1336
20050713,1341
20050714,1342
20050715,1337
20050718,1337
20050719,1340
20050720,1337
20050721,1332
20050722,1328
20050725,1320
20050726,1325
20050727,1326
20050728,1316
20050729,1310
20050801,1304
20050802,1304
20050803,1310
20050804,1313
20050805,1313
20050808,1307
20050809,1317
20050810,1317
20050811,1318
20050812,1320
20050815,1317
20050816,1319
20050817,1328
20050818,1328
20050819,1328
20050822,1330
20050823,1337
20050824,1337
20050825,1330
20050826,1330
20050829,1337
20050830,1339
20050831,1344
20050901,1339
20050902,1340
20050905,1336
20050906,1336
20050907,1341
20050908,1344
20050909,1340
20050912,1287
20050913,1300
20050914,1303
20050915,1290
20050916,1292
20050919,1260
20050920,1249
20050921,1266
20050922,1293
20050923,1294
20050926,1270
20050927,1272
20050928,1268
20050929,1298
20050930,1288
20051010,1259
20051011,1261
20051012,1260
20051013,1271
20051014,1266
20051017,1233
20051018,1235
20051019,1229
20051020,1246
20051021,1241
20051024,1213
20051025,1213
20051026,1219
20051027,1237
20051028,1240
20051031,1221
20051101,1233
20051102,1243
20051103,1263
20051104,1265
20051107,1247
20051108,1247
20051109,1249
20051110,1268
20051111,1266
20051114,1248
20051115,1245
20051116,1241
20051117,1252
20051118,1256
20051121,1234
20051122,1232
20051123,1242
20051124,1260
20051125,1244
20051128,1222
20051129,1219
20051130,1235
20051201,1245
20051202,1238
20051205,1226
20051206,1229
20051207,1230
20051208,1245
20051209,1238
20051212,1221
20051213,1232
20051214,1230
20051215,1236
20051216,1230
20051219,1197
20051220,1197
20051221,1208
20051222,1212
20051223,1172
20051226,1170
20051227,1187
20051228,1187
20051229,1201
20051230,1183
20060104,1181
20060105,1219
20060106,1231
20060109,1219
20060110,1215
20060111,1221
20060112,1224
20060113,1210
20060116,1187
20060117,1187
20060118,1191
20060119,1202
20060120,1195
20060123,1143
20060124,1158
20060125,1167
20060206,1183
20060207,1195
20060208,1192
20060209,1191
20060210,1191
20060213,1176
20060214,1190
20060215,1196
20060216,1210
20060217,1223
20060220,1172
20060221,1178
20060222,1181
20060223,1196
20060224,1188
20060227,1135
20060228,1144
20060301,1158
20060302,1170
20060303,1173
20060306,1138
20060307,1133
20060308,1140
20060309,1162
20060310,1159
20060313,1134
20060314,1137
20060315,1145
20060316,1160
20060317,1162
20060320,1122
20060321,1126
20060322,1128
20060323,1132
20060324,1134
20060327,1088
20060328,1088
20060329,1110
20060330,1113
20060331,1115
20060403,1108
20060404,1110
20060405,1115
20060406,1126
20060407,1127
20060410,1101
20060411,1127
20060412,1134
20060413,1147
20060414,1147
20060417,1115
20060418,1111
20060419,1133
20060420,1122
20060421,1121
20060424,1108
20060425,1113
20060426,1116
20060427,1132
20060428,1092
20060508,1057
20060509,1091
20060510,1095
20060511,1117
20060512,1089
20060515,1074
20060516,1090
20060517,1121
20060518,1105
20060519,1104
20060522,1081
20060523,1094
20060524,1121
20060525,1120
20060526,1071
20060529,1072
20060530,1066
20060531,1117
20060601,1139
20060602,1127
20060605,1121
20060606,1123
20060607,1137
20060608,1153
20060609,1152
20060612,1142
20060613,1149
20060614,1153
20060615,1160
20060616,1134
20060619,1127
20060620,1132
20060621,1153
20060622,1148
20060623,1131
20060626,1101
20060627,1114
20060628,1107
20060629,1113
20060630,1063
20060703,1120
20060704,1140
20060705,1153
20060706,1166
20060707,1156
20060710,1154
20060711,1168
20060712,1176
20060713,1186
20060714,1186
20060717,1170
20060718,1177
20060719,1189
20060720,1193
20060721,1184
20060724,1163
20060725,1178
20060726,1185
20060727,1196
20060728,1195
20060731,1186
20060801,1201
20060802,1208
20060803,1216
20060804,1216
20060807,1212
20060808,1217
20060809,1219
20060810,1217
20060811,1223
20060814,1214
20060815,1221
20060816,1223
20060817,1241
20060818,1233
20060821,1226
20060822,1230
20060823,1243
20060824,1250
20060825,1248
20060828,1232
20060829,1243
20060830,1242
20060831,1247
20060901,1249
20060904,1237
20060905,1248
20060906,1250
20060907,1256
20060908,1246
20060911,1248
20060912,1252
20060913,1252
20060914,1271
20060915,1249
20060918,1256
20060919,1261
20060920,1263
20060921,1267
20060922,1264
20060925,1254
20060926,1251
20060927,1267
20060928,1265
20060929,1264
20061009,1256
20061010,1260
20061011,1265
20061012,1267
20061013,1267
20061016,1265
20061017,1278
20061018,1284
20061019,1281
20061020,1269
20061023,1270
20061024,1275
20061025,1279
20061026,1283
20061027,1288
20061030,1279
20061031,1280
20061101,1288
20061102,1290
20061103,1288
20061106,1291
20061107,1290
20061108,1284
20061109,1294
20061110,1286
20061113,1280
20061114,1285
20061115,1281
20061116,1281
20061117,1287
20061120,1278
20061121,1291
20061122,1286
20061123,1291
20061124,1288
20061127,1285
20061128,1287
20061129,1290
20061130,1296
20061201,1296
20061204,1293
20061205,1290
20061206,1288
20061207,1291
20061208,1280
20061211,1280
20061212,1285
20061213,1294
20061214,1285
20061215,1279
20061218,1268
20061219,1278
20061220,1275
20061221,1272
20061222,1268
20061225,1252
20061226,1270
20061227,1276
20061228,1252
20061229,1264
20070104,1251
20070105,1259
20070108,1276
20070109,1286
20070110,1293
20070111,1294
20070112,1289
20070115,1279
20070116,1299
20070117,1305
20070118,1303
20070119,1295
20070122,1290
20070123,1303
20070124,1307
20070125,1295
20070126,1300
20070129,1299
20070130,1311
20070131,1314
20070201,1316
20070202,1312
20070205,1299
20070206,1315
20070207,1317
20070208,1313
20070209,1310
20070212,1307
20070213,1319
20070214,1324
20070215,1331
20070216,1337
20070226,1331
20070227,1329
20070228,1312
20070301,1336
20070302,1328
20070305,1319
20070306,1313
20070307,1335
20070308,1331
20070309,1328
20070312,1325
20070313,1331
20070314,1337
20070315,1333
20070316,1328
20070319,1325
20070320,1321
20070321,1335
20070322,1335
20070323,1327
20070326,1317
20070327,1336
20070328,1331
20070329,1332
20070330,1331
20070402,1340
20070403,1340
20070404,1348
20070405,1347
20070406,1325
20070409,1332
20070410,1335
20070411,1343
20070412,1326
20070413,1337
20070416,1326
20070417,1341
20070418,1315
20070419,1315
20070420,1311
20070423,1324
20070424,1319
20070425,1297
20070426,1271
20070427,1288
20070430,1270
20070508,1309
20070509,1312
20070510,1277
20070511,1257
20070514,1293
20070515,1273
20070516,1287
20070517,1309
20070518,1224
20070521,1303
20070522,1296
20070523,1294
20070524,1304
20070525,1273
20070528,1291
20070529,1305
20070530,1305
20070531,1317
20070601,1330
20070604,1330
20070605,1337
20070606,1331
20070607,1338
20070608,1326
20070611,1341
20070612,1336
20070613,1333
20070614,1343
20070615,1325
20070618,1329
20070619,1343
20070620,1338
20070621,1338
20070622,1342
20070625,1329
20070626,1317
20070627,1337
20070628,1308
20070629,1290
20070702,1333
20070703,1358
20070704,1353
20070705,1349
20070706,1351
20070709,1347
20070710,1352
20070711,1356
20070712,1356
20070713,1355
20070716,1346
20070717,1359
20070718,1354
20070719,1360
20070720,1360
20070723,1358
20070724,1356
20070725,1354
20070726,1358
20070727,1347
20070730,1342
20070731,1345
20070801,1351
20070802,1345
20070803,1341
20070806,1341
20070807,1345
20070808,1340
20070809,1338
20070810,1333
20070813,1339
20070814,1346
20070815,1343
20070816,1349
20070817,1353
20070820,1346
20070821,1356
20070822,1349
20070823,1351
20070824,1345
20070827,1339
20070828,1350
20070829,1356
20070830,1352
20070831,1361
20070903,1352
20070904,1362
20070905,1357
20070906,1353
20070907,1346
20070910,1350
20070911,1357
20070912,1350
20070913,1361
20070914,1348
20070917,1345
20070918,1354
20070919,1367
20070920,1364
20070921,1364
20070924,1357
20070925,1370
20070926,1361
20070927,1362
20070928,1354
20071008,1358
20071009,1370
20071010,1364
20071011,1367
20071012,1366
20071015,1359
20071016,1363
20071017,1370
20071018,1375
20071019,1373
20071022,1368
20071023,1370
20071024,1365
20071025,1355
20071026,1353
20071029,1353
20071030,1355
20071031,1363
20071101,1365
20071102,1366
20071105,1372
20071106,1372
20071107,1367
20071108,1359
20071109,1361
20071112,1355
20071113,1369
20071114,1379
20071115,1357
20071116,1354
20071119,1368
20071120,1370
20071121,1380
20071122,1376
20071123,1360
20071126,1374
20071127,1385
20071128,1381
20071129,1372
20071130,1378
20071203,1378
20071204,1384
20071205,1383
20071206,1378
20071207,1382
20071210,1367
20071211,1379
20071212,1375
20071213,1378
20071214,1374
20071217,1364
20071218,1376
20071219,1385
20071220,1371
20071221,1376
20071224,1368
20071225,1389
20071226,1383
20071227,1385
20071228,1376
20080102,1371
20080103,1409
20080104,1406
20080107,1402
20080108,1398
20080109,1409
20080110,1410
20080111,1403
20080114,1398
20080115,1402
20080116,1397
20080117,1411
20080118,1384
20080121,1391
20080122,1405
20080123,1406
20080124,1410
20080125,1404
20080128,1404
20080129,1415
20080130,1414
20080131,1404
20080201,1413
20080204,1409
20080205,1434
20080213,1431
20080214,1426
20080215,1419
20080218,1406
20080219,1417
20080220,1412
20080221,1420
20080222,1406
20080225,1406
20080226,1418
20080227,1426
20080228,1427
20080229,1419
20080303,1428
20080304,1433
20080305,1424
20080306,1425
20080307,1427
20080310,1423
20080311,1427
20080312,1415
20080313,1427
20080314,1427
20080317,1415
20080318,1419
20080319,1426
20080320,1414
20080321,1414
20080324,1417
20080325,1422
20080326,1416
20080327,1423
20080328,1405
20080331,1418
20080401,1431
20080402,1414
20080403,1427
20080407,1425
20080408,1413
20080409,1419
20080410,1414
20080411,1418
20080414,1423
20080415,1414
20080416,1422
20080417,1423
20080418,1382
20080421,1396
20080422,1400
20080423,1412
20080424,1418
20080425,1400
20080428,1392
20080429,1393
20080430,1418
20080505,1423
20080506,1419
20080507,1429
20080508,1385
20080509,1403
20080512,1412
20080513,1362
20080514,1411
20080515,1372
20080516,1369
20080519,1408
20080520,1407
20080521,1427
20080522,1424
20080523,1427
20080526,1427
20080527,1439
